transform,dataset,image_path,mse,psnr,compression_ratio,direct_compression_ratio,original_entropy,transformed_entropy,quantized_entropy,quantization_scale,encode_ms,decode_ms,error
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,19.9757,35.1258,7.19168,5.43837,6.57856,4.01877,1.02485,0.3583180799999999,13795.2,9509.25,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,16.5117,35.9529,5.52491,4.8193,6.57856,4.01877,1.34567,0.24883199999999994,13875.8,9631.01,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,15.0437,36.3573,5.06307,4.58604,6.57856,4.01877,1.4709,0.20736,13999.1,9659.43,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,48.5387,31.2699,23.1938,7.31946,6.57856,4.01877,0.264636,2.662333328088523,11971.0,9232.72,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,40.2685,32.0811,19.9127,7.13433,6.57856,4.01877,0.32382,1.8488425889503632,12591.8,9252.86,
DCT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,54.1076,30.7982,24.9131,7.40067,6.57856,4.01877,0.239217,3.1947999937062272,12054.4,9388.96,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,0.800528,49.097,0.84878,0.98781,6.57856,3.15554,2.67072,1.6900000000000002,9632.05,3800.07,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,0.995087,48.1522,0.721409,0.836348,6.57856,3.15554,3.15554,0.7692307692307692,9894.51,3879.28,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,0.208302,54.9439,0.735279,0.836348,6.57856,3.15554,3.15554,1.0,9959.25,3864.37,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,0.645075,50.0347,0.784834,0.899429,6.57856,3.15554,2.91997,1.3,10188.4,3865.44,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,7.52916,39.3633,2.82382,2.05511,6.57856,3.15554,0.774224,8.157307210000003,6930.18,2981.45,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,12.377,37.2047,3.69894,2.26506,6.57856,3.15554,0.54379,13.785849184900005,6326.97,2933.53,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,5.38606,40.8181,2.27613,1.88791,6.57856,3.15554,0.985567,6.274851700000002,7137.71,3076.47,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,9.56375,38.3245,3.27283,2.17037,6.57856,3.15554,0.642021,10.604499373000003,6848.55,2944.72,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,16.5232,35.9499,4.3443,2.35809,6.57856,3.15554,0.42647,17.921603940370005,6525.04,2867.46,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,22.8304,34.5457,5.27039,2.44253,6.57856,3.15554,0.31351,23.29808512248101,6154.08,2842.3,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,38.1048,32.321,7.72967,2.546,6.57856,3.15554,0.166761,39.37376385699291,5860.96,2816.28,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,30.0572,33.3513,6.60396,2.50712,6.57856,3.15554,0.222057,30.287510659225312,6101.75,2830.48,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,3.37036,42.854,1.71625,1.67683,6.57856,3.15554,1.31961,4.826809000000001,7810.58,3215.2,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,47.4604,31.3675,9.09875,2.57998,6.57856,3.15554,0.12196,51.18589301409078,5574.54,2790.47,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,1.83456,45.4955,1.2668,1.40919,6.57856,3.15554,1.79259,3.7129300000000005,8491.6,3515.21,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,1.69144,45.8482,1.20491,1.32984,6.57856,3.15554,1.90082,2.8561000000000005,8575.43,3512.59,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,1.2116,47.2972,1.13418,1.24372,6.57856,3.15554,2.05096,2.197,8701.69,3499.08,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,56.4016,30.6179,10.2564,2.60384,6.57856,3.15554,0.0919049,66.54166091831802,5575.05,2781.46,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,63.8422,30.0797,11.0525,2.61976,6.57856,3.15554,0.0743275,86.50415919381344,5485.22,2762.25,
DFT,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,78.2446,29.1963,11.4975,2.63406,6.57856,3.15554,0.0629059,112.45540695195746,5454.24,2766.52,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,8.06093,39.067,2.084,2.53163,6.57856,5.38347,3.12526,1.6900000000000002,10413.1,3468.47,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,7.76727,39.2281,1.89121,2.25897,6.57856,5.38347,3.5222,1.3,10505.7,3483.98,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,7.74424,39.241,1.70043,1.99632,6.57856,5.38347,3.96788,1.0,10691.3,3558.39,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,7.64675,39.296,1.59437,1.85996,6.57856,5.38347,4.24874,0.7692307692307692,10883.3,3565.08,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,21.5806,34.7902,5.61016,6.3688,6.57856,5.38347,0.753791,10.604499373000003,9320.46,3125.87,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,18.2222,35.5248,4.91901,5.8047,6.57856,5.38347,1.00883,8.157307210000003,9627.97,3151.85,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,10.1375,38.0715,2.90746,3.72431,6.57856,5.38347,2.10283,3.7129300000000005,9916.67,3304.19,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,11.8443,37.3957,3.3664,4.28891,6.57856,5.38347,1.78911,4.826809000000001,9995.92,3218.89,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,8.93351,38.6206,2.56841,3.13078,6.57856,5.38347,2.46955,2.8561000000000005,10229.5,3348.6,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,14.8677,36.4084,4.1374,5.08929,6.57856,5.38347,1.3613,6.274851700000002,10180.9,3183.03,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,34.7126,32.7259,7.07828,7.43263,6.57856,5.38347,0.296691,23.29808512248101,9543.3,3053.3,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,29.3466,33.4552,6.70154,7.17561,6.57856,5.38347,0.408947,17.921603940370005,9619.16,3088.48,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,66.5118,29.9018,7.82068,7.8967,6.57856,5.38347,0.065246,66.54166091831802,8911.78,3080.98,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,49.4296,31.1909,7.56497,7.74398,6.57856,5.38347,0.149803,39.37376385699291,9361.92,3042.01,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,41.4853,31.9519,7.35485,7.61301,6.57856,5.38347,0.214324,30.287510659225312,9350.44,3060.34,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,8.30401,38.9379,2.30439,2.81266,6.57856,5.38347,2.77601,2.197,10621.0,3370.57,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,25.1813,34.12,6.23381,6.84026,6.57856,5.38347,0.550151,13.785849184900005,10024.3,3092.96,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,57.7293,30.5168,7.71753,7.83603,6.57856,5.38347,0.100233,51.18589301409078,9258.83,3055.75,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,82.5633,28.9629,7.92854,7.95815,6.57856,5.38347,0.0269543,112.45540695195746,8359.79,3060.93,
HAAR,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,74.8726,29.3876,7.8879,7.93518,6.57856,5.38347,0.0418097,86.50415919381344,8769.73,3073.25,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,16.1282,36.0549,3.51863,4.34603,6.57856,4.1728,1.58123,0.8450000000000001,8727.52,3216.86,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,20.2406,35.0686,4.147,5.14906,6.57856,4.1728,1.10448,1.0985,8641.8,3133.0,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,10.4271,37.9492,2.477,3.39569,6.57856,4.1728,2.26515,0.5,8812.54,3330.33,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,11.7182,37.4422,2.66814,3.57037,6.57856,4.1728,2.11889,0.65,9017.48,3315.1,
